file,method,line,statements,flow_blocks,classification
ddd-adaptor/src/main/java/com/ddd/adaptor/common/ApiExceptionHandler.java,handleDomainFallback,38,2,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/common/ApiExceptionHandler.java,handleRequestValidation,53,1,0,single_operation_or_constructor_review
ddd-adaptor/src/main/java/com/ddd/adaptor/common/ApiExceptionHandler.java,handleUnexpectedException,67,2,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/common/HttpResults.java,<init>,17,0,0,single_operation_or_constructor_review
ddd-adaptor/src/main/java/com/ddd/adaptor/common/HttpResults.java,capture,28,6,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/DddController.java,<init>,61,6,0,single_operation_or_constructor_review
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/DddController.java,write,83,9,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/DddController.java,query,108,9,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/DddController.java,calculate,133,9,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/DddController.java,calculateRule,160,9,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/DddController.java,queryExternal,186,9,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/assembler/DddInputAssembler.java,toCommand,43,6,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/assembler/DddInputAssembler.java,toCommand,63,4,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/assembler/DddInputAssembler.java,toReadCommand,83,3,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/assembler/DddInputAssembler.java,toExternalReadCommand,102,3,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/assembler/DddInputAssembler.java,toCommand,119,4,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/assembler/DddInputAssembler.java,toResponse,137,7,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/assembler/DddInputAssembler.java,toResponse,158,4,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/assembler/DddInputAssembler.java,toResponse,178,3,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/assembler/DddInputAssembler.java,toResponse,195,6,1,flow_checked
ddd-adaptor/src/main/java/com/ddd/adaptor/ddd/input/assembler/DddInputAssembler.java,toResponse,215,5,1,flow_checked
